"Albany NY","Albuquerque NM","Anchorage AK","Arlington VA","Atlanta GA","Austin TX","Baltimore MD","Baton Rouge LA","Beaverton OR","Bellevue WA","Berkeley CA","Birmingham AL","Boise ID","Boston MA","Buffalo NY","Cary NC","Charlotte NC","Chicago IL","Cleveland OH","Colorado Springs CO","Columbia SC","Columbus OH","Dallas TX","Dayton OH","Denver CO","Des Moines IA","Durham NC","Eugene OR","Fort Worth TX","Fresno CA","Gainesville FL","Grand Rapids MI","Greensboro NC","Greenville SC","Honolulu HI","Houston TX","Indianapolis IN","Irvine CA","Irving TX","Jackson MS","Jacksonville FL","Kansas City MO","Knoxville TN","Las Vegas NV","Lexington KY","Lincoln NE","Little Rock AR","Los Angeles CA","Lubbock TX","Madison WI","Memphis TN","Mesa AZ","Miami FL","Milwaukee WI","Nashville TN","New Orleans LA","New York NY","Newark NJ","Norfolk VA","Oakland CA","Oklahoma City OK","Omaha NE","Orlando FL","Philadelphia PA","Phoenix AZ","Pittsburgh PA","Plano TX","Portland OR","Providence RI","Raleigh NC","Reno NV","Reston VA","Richmond VA","Rochester NY","Roswell GA","Sacramento CA","Saint Louis MO","Saint Paul MN","Salt Lake City UT","San Antonio TX","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Scottsdale AZ","Seattle WA","Somerville MA","Spokane WA","Springfield MO","State College PA","Sunnyvale CA","Tampa FL","Tempe AZ","Tucson AZ","Tulsa OK","WASHINGTON DC","Wichita KS"
"1/30/05","1/30/05","1/30/05","12/5/04","2/6/05","11/21/04","12/26/04","1/30/05","2/6/05","1/16/05","11/14/04","1/30/05","1/30/05","8/8/04","2/6/05","1/2/05","1/30/05","12/19/04","1/9/05","1/9/05","1/16/05","1/23/05","1/16/05","2/6/05","12/26/04","12/19/04","12/26/04","1/30/05","2/6/05","2/6/05","1/30/05","1/30/05","1/30/05","1/30/05","2/13/05","2/6/05","2/6/05","1/30/05","12/26/04","12/19/04","10/3/04","1/30/05","1/23/05","2/13/05","8/15/04","1/30/05","2/6/05","2/6/05","1/23/05","1/30/05","2/13/05","1/30/05","2/6/05","1/30/05","2/6/05","1/23/05","2/6/05","12/26/04","12/26/04","1/30/05","12/19/04","1/23/05","2/6/05","2/6/05","2/6/05","1/30/05","2/6/05","11/21/04","1/23/05","2/6/05","1/30/05","2/27/05","1/30/05","1/9/05","2/6/05","2/13/05","1/30/05","2/6/05","1/30/05","1/16/05","1/30/05","1/30/05","1/9/05","1/23/05","1/30/05","8/15/04","1/23/05","10/24/04","1/16/05","1/30/05","1/30/05","1/23/05","1/16/05","1/9/05","2/20/05","1/16/05","2/6/05"
"10/9/05","2/12/06","2/5/06","12/18/05","12/4/05","12/18/05","12/11/05","12/18/05","1/1/06","12/11/05","12/11/05","11/27/05","12/11/05","9/25/05","12/4/05","12/18/05","12/18/05","12/18/05","12/18/05","1/1/06","12/18/05","10/2/05","2/12/06","2/5/06","12/18/05","2/12/06","11/6/05","2/5/06","1/29/06","10/30/05","2/12/06","12/18/05","12/18/05","2/12/06","12/25/05","2/26/06","2/12/06","2/19/06","12/18/05","2/12/06","12/25/05","2/12/06","2/12/06","1/29/06","2/12/06","1/22/06","2/12/06","10/23/05","2/5/06","2/26/06","2/19/06","2/12/06","1/22/06","2/19/06","10/9/05","12/18/05","12/11/05","12/25/05","12/25/05","10/23/05","12/18/05","12/25/05","2/12/06","2/12/06","2/26/06","12/11/05","12/25/05","12/18/05","3/12/06","12/11/05","1/22/06","2/5/06","1/15/06","2/26/06","2/26/06","2/19/06","1/29/06","12/18/05","1/22/06","12/11/05","12/11/05","10/23/05","12/18/05","12/18/05","1/1/06","1/22/06","12/11/05","12/18/05","2/19/06","10/2/05","2/26/06","2/26/06","12/25/05","10/2/05","1/1/06","2/19/06","3/5/06"
"2/25/07","12/10/06","1/28/07","11/26/06","12/17/06","12/17/06","2/25/07","2/18/07","1/28/07","1/14/07","2/4/07","1/14/07","1/28/07","1/14/07","1/14/07","1/21/07","1/21/07","1/21/07","12/24/06","2/11/07","1/21/07","11/19/06","1/28/07","2/11/07","12/10/06","11/5/06","12/17/06","12/3/06","12/10/06","2/11/07","1/21/07","1/28/07","12/17/06","1/21/07","1/28/07","2/18/07","12/17/06","12/10/06","1/28/07","2/4/07","11/26/06","2/18/07","1/28/07","12/10/06","2/11/07","12/17/06","12/10/06","2/11/07","12/3/06","1/28/07","2/11/07","2/4/07","1/28/07","2/11/07","1/7/07","2/25/07","12/3/06","2/4/07","3/18/07","12/10/06","2/4/07","12/24/06","10/1/06","2/25/07","12/17/06","1/28/07","2/4/07","1/28/07","1/28/07","1/28/07","1/28/07","12/17/06","10/15/06","12/24/06","12/17/06","12/24/06","2/11/07","2/4/07","1/21/07","2/11/07","1/28/07","2/11/07","1/28/07","1/28/07","2/18/07","1/28/07","1/28/07","2/18/07","12/24/06","2/11/07","11/19/06","2/11/07","2/4/07","1/28/07","1/28/07","2/11/07","2/11/07"
"10/28/07","1/27/08","1/20/08","2/10/08","1/27/08","2/3/08","2/3/08","1/20/08","2/3/08","1/27/08","2/3/08","1/13/08","2/3/08","2/3/08","1/13/08","4/13/08","2/3/08","2/3/08","1/27/08","2/10/08","2/10/08","1/20/08","1/13/08","2/17/08","2/10/08","1/27/08","2/10/08","1/27/08","1/27/08","2/10/08","2/17/08","2/10/08","1/27/08","1/27/08","2/10/08","1/27/08","1/27/08","1/20/08","2/10/08","1/27/08","1/27/08","1/27/08","2/10/08","2/3/08","2/3/08","1/27/08","1/27/08","2/3/08","1/27/08","1/27/08","2/3/08","1/27/08","2/10/08","2/10/08","2/3/08","1/20/08","12/23/07","2/10/08","2/10/08","2/3/08","1/20/08","1/27/08","12/23/07","1/20/08","1/20/08","1/20/08","1/27/08","2/10/08","2/10/08","2/10/08","1/20/08","1/20/08","2/3/08","2/10/08","1/27/08","1/27/08","1/27/08","1/20/08","1/20/08","1/13/08","1/20/08","1/20/08","1/13/08","1/20/08","1/20/08","1/27/08","1/13/08","2/10/08","1/20/08","2/10/08","1/27/08","1/20/08","2/17/08","1/20/08","1/13/08","2/10/08","2/10/08"
"10/19/08","4/19/09","2/1/09","4/26/09","4/19/09","4/19/09","4/26/09","4/19/09","4/26/09","4/19/09","1/11/09","4/19/09","4/19/09","4/19/09","4/19/09","4/19/09","4/19/09","4/19/09","4/26/09","4/26/09","4/19/09","4/19/09","2/8/09","2/1/09","4/19/09","1/25/09","4/26/09","4/19/09","2/22/09","4/19/09","2/15/09","3/8/09","4/19/09","4/19/09","2/22/09","2/22/09","1/25/09","4/19/09","2/1/09","2/15/09","4/19/09","4/26/09","4/19/09","4/26/09","2/22/09","4/19/09","2/15/09","2/15/09","2/15/09","2/8/09","2/8/09","4/19/09","3/8/09","3/1/09","5/31/09","4/19/09","4/19/09","5/17/09","11/2/08","2/15/09","5/10/09","4/19/09","2/1/09","4/19/09","2/22/09","4/19/09","2/22/09","2/15/09","2/1/09","4/19/09","4/19/09","4/19/09","2/8/09","2/8/09","2/8/09","2/15/09","2/15/09","2/15/09","1/18/09","4/19/09","4/19/09","2/1/09","4/19/09","2/1/09","1/25/09","1/25/09","4/19/09","6/7/09","4/26/09","1/25/09","2/15/09","1/25/09","5/10/09","4/19/09","4/26/09","4/26/09","4/26/09"
"9/27/09","8/23/09","8/30/09","9/27/09","9/20/09","9/27/09","9/27/09","10/4/09","9/6/09","8/30/09","10/11/09","10/11/09","10/25/09","10/4/09","10/4/09","10/4/09","10/4/09","10/4/09","10/18/09","9/27/09","9/20/09","10/11/09","8/30/09","9/20/09","8/30/09","8/23/09","8/23/09","10/11/09","9/20/09","10/4/09","10/4/09","10/4/09","10/11/09","9/27/09","9/27/09","9/20/09","8/16/09","8/16/09","10/11/09","10/25/09","10/11/09","10/11/09","10/4/09","10/4/09","10/11/09","10/4/09","8/30/09","9/6/09","9/13/09","9/6/09","9/27/09","8/30/09","10/11/09","10/4/09","10/11/09","9/20/09","10/18/09","9/20/09","10/18/09","10/11/09","10/11/09","10/18/09","10/11/09","10/4/09","10/11/09","9/13/09","9/27/09","10/4/09","9/27/09","9/27/09","10/11/09","10/11/09","9/13/09","10/18/09","9/20/09","8/30/09","8/23/09","8/30/09","8/23/09","9/6/09","9/6/09","9/20/09","9/6/09","9/20/09","9/20/09","9/13/09","9/6/09","10/4/09","10/11/09","10/11/09","10/18/09","10/11/09","10/18/09","10/11/09","10/4/09","10/11/09","10/11/09"
"2/6/11","12/12/10","1/30/11","1/30/11","1/30/11","2/6/11","1/30/11","12/5/10","1/23/11","2/13/11","1/16/11","12/19/10","1/9/11","2/6/11","1/30/11","2/6/11","12/26/10","2/20/11","12/26/10","1/16/11","1/9/11","11/21/10","1/9/11","12/12/10","12/19/10","12/19/10","12/26/10","12/12/10","12/12/10","2/6/11","1/16/11","2/20/11","1/9/11","1/9/11","2/6/11","1/30/11","1/16/11","1/16/11","12/26/10","2/6/11","12/26/10","2/6/11","2/6/11","2/6/11","2/6/11","12/19/10","12/26/10","1/23/11","1/23/11","1/9/11","1/30/11","1/9/11","2/6/11","2/13/11","1/23/11","2/6/11","1/16/11","2/20/11","12/26/10","2/13/11","2/6/11","1/30/11","1/30/11","1/9/11","1/9/11","1/16/11","1/16/11","2/20/11","1/16/11","1/30/11","1/16/11","1/16/11","1/23/11","2/6/11","1/23/11","1/23/11","1/30/11","2/6/11","1/16/11","1/9/11","1/16/11","1/16/11","2/6/11","1/23/11","1/23/11","1/16/11","2/6/11","12/19/10","1/9/11","2/13/11","1/30/11","1/16/11","2/20/11","12/26/10","2/6/11","12/26/10","1/23/11"
"3/11/12","9/25/11","10/16/11","1/8/12","12/18/11","2/26/12","3/18/12","12/25/11","1/15/12","2/12/12","12/18/11","12/11/11","12/25/11","1/22/12","12/18/11","11/20/11","12/25/11","11/6/11","1/15/12","12/25/11","12/11/11","12/18/11","10/2/11","9/25/11","3/18/12","2/19/12","12/18/11","11/20/11","12/25/11","4/15/12","1/15/12","12/18/11","12/18/11","12/18/11","3/4/12","2/5/12","1/29/12","3/4/12","12/18/11","12/25/11","12/18/11","12/25/11","12/25/11","1/22/12","2/19/12","2/5/12","2/12/12","11/6/11","2/12/12","10/9/11","4/29/12","11/6/11","10/9/11","12/18/11","4/29/12","3/18/12","11/20/11","1/15/12","4/29/12","1/1/12","12/18/11","12/25/11","12/25/11","12/18/11","12/25/11","2/12/12","2/19/12","3/25/12","1/8/12","12/18/11","9/18/11","12/18/11","4/29/12","4/29/12","10/16/11","12/18/11","12/25/11","2/26/12","12/11/11","9/11/11","2/26/12","9/25/11","12/18/11","10/23/11","2/26/12","2/5/12","2/5/12","12/18/11","12/25/11","11/6/11","11/27/11","9/25/11","3/18/12","12/18/11","2/12/12","12/25/11","12/18/11"
"1/6/13","11/25/12","12/30/12","12/30/12","1/13/13","1/13/13","12/23/12","1/6/13","1/6/13","1/6/13","1/13/13","1/13/13","12/30/12","1/13/13","1/13/13","1/6/13","1/13/13","1/6/13","1/6/13","1/6/13","12/30/12","12/16/12","12/23/12","12/16/12","12/30/12","1/6/13","12/16/12","11/25/12","1/6/13","1/6/13","12/30/12","12/30/12","12/16/12","12/30/12","12/30/12","12/30/12","12/9/12","12/9/12","12/16/12","12/30/12","1/6/13","12/16/12","12/30/12","12/23/12","12/30/12","12/30/12","11/25/12","12/16/12","11/25/12","12/2/12","11/25/12","11/25/12","12/30/12","12/30/12","12/30/12","12/30/12","1/13/13","1/13/13","12/16/12","12/30/12","12/16/12","12/30/12","12/16/12","12/30/12","12/30/12","12/30/12","12/30/12","1/6/13","1/6/13","12/30/12","12/30/12","12/16/12","1/6/13","12/30/12","12/16/12","11/25/12","11/25/12","12/30/12","12/9/12","12/30/12","12/9/12","12/9/12","12/16/12","12/30/12","12/16/12","12/30/12","12/30/12","1/6/13","12/23/12","12/30/12","12/30/12","12/16/12","12/30/12","12/23/12","12/30/12","12/23/12","12/30/12"
"12/22/13","12/8/13","12/22/13","12/29/13","1/19/14","12/29/13","1/12/14","12/15/13","12/22/13","12/22/13","12/22/13","12/22/13","12/22/13","12/29/13","12/29/13","12/8/13","12/15/13","12/29/13","12/29/13","12/8/13","12/8/13","12/15/13","12/29/13","12/15/13","12/22/13","12/15/13","12/15/13","12/8/13","12/15/13","12/22/13","12/8/13","12/22/13","12/15/13","12/15/13","12/22/13","12/22/13","12/15/13","12/8/13","12/22/13","1/26/14","12/15/13","12/15/13","12/15/13","12/8/13","12/22/13","12/15/13","12/22/13","12/15/13","12/15/13","12/22/13","12/22/13","12/15/13","12/22/13","12/15/13","1/19/14","12/15/13","12/8/13","12/15/13","12/29/13","12/15/13","12/15/13","1/5/14","12/15/13","12/8/13","12/22/13","12/8/13","12/15/13","12/29/13","12/29/13","12/15/13","1/5/14","12/8/13","1/5/14","1/19/14","12/29/13","12/15/13","12/15/13","12/15/13","12/8/13","12/8/13","12/15/13","12/8/13","12/8/13","12/15/13","12/15/13","12/8/13","12/8/13","12/15/13","12/22/13","12/22/13","1/5/14","12/22/13","12/29/13","12/15/13","12/22/13","12/22/13","12/15/13"
