"Anchorage AK","Birmingham AL","Little Rock AR","Mesa AZ","Phoenix AZ","Scottsdale AZ","Tempe AZ","Tucson AZ","Berkeley CA","Fresno CA","Irvine CA","Los Angeles CA","Oakland CA","Sacramento CA","San Diego CA","San Francisco CA","San Jose CA","Santa Clara CA","Sunnyvale CA","Colorado Springs CO","Denver CO","WASHINGTON DC","Gainesville FL","Jacksonville FL","Miami FL","Orlando FL","Tampa FL","Atlanta GA","Roswell GA","Honolulu HI","Des Moines IA","Boise ID","Chicago IL","Indianapolis IN","Wichita KS","Lexington KY","Baton Rouge LA","New Orleans LA","Boston MA","Somerville MA","Baltimore MD","Grand Rapids MI","Saint Paul MN","Kansas City MO","Springfield MO","Saint Louis MO","Jackson MS","Cary NC","Charlotte NC","Durham NC","Greensboro NC","Raleigh NC","Lincoln NE","Omaha NE","Newark NJ","Albuquerque NM","Las Vegas NV","Reno NV","Albany NY","Buffalo NY","New York NY","Rochester NY","Cleveland OH","Columbus OH","Dayton OH","Oklahoma City OK","Tulsa OK","Beaverton OR","Eugene OR","Portland OR","Philadelphia PA","Pittsburgh PA","State College PA","Providence RI","Columbia SC","Greenville SC","Knoxville TN","Memphis TN","Nashville TN","Austin TX","Dallas TX","Fort Worth TX","Houston TX","Irving TX","Lubbock TX","Plano TX","San Antonio TX","Salt Lake City UT","Arlington VA","Norfolk VA","Reston VA","Richmond VA","Bellevue WA","Seattle WA","Spokane WA","Madison WI","Milwaukee WI"
"2/20/05","2/13/05","2/6/05","2/27/05","2/13/05","2/6/05","2/27/05","2/13/05","2/27/05","2/6/05","2/20/05","2/6/05","2/20/05","2/13/05","2/13/05","2/13/05","2/6/05","2/13/05","2/13/05","2/13/05","1/23/05","2/13/05","2/6/05","2/27/05","2/20/05","2/27/05","2/13/05","2/6/05","2/13/05","2/20/05","2/13/05","3/6/05","2/6/05","2/20/05","2/27/05","2/13/05","2/13/05","2/6/05","1/2/05","1/2/05","2/6/05","2/6/05","1/30/05","2/27/05","8/15/04","2/13/05","2/13/05","2/20/05","3/6/05","2/13/05","3/6/05","2/13/05","2/20/05","2/13/05","2/13/05","2/13/05","2/13/05","2/20/05","1/2/05","2/6/05","1/2/05","2/13/05","2/20/05","3/6/05","2/20/05","2/27/05","2/20/05","3/6/05","2/20/05","2/13/05","2/13/05","2/6/05","2/13/05","1/23/05","2/13/05","2/27/05","2/6/05","2/20/05","2/6/05","2/13/05","2/6/05","2/6/05","2/6/05","2/6/05","2/13/05","8/15/04","2/13/05","2/20/05","2/6/05","2/13/05","2/20/05","2/13/05","2/6/05","2/20/05","2/27/05","1/23/05","2/13/05"
"10/30/05","2/26/06","3/5/06","12/25/05","12/25/05","1/1/06","12/25/05","12/25/05","1/8/06","12/25/05","12/18/05","12/18/05","12/25/05","1/1/06","12/18/05","12/25/05","1/1/06","1/1/06","12/25/05","1/8/06","12/25/05","3/5/06","2/26/06","2/19/06","1/29/06","2/19/06","2/26/06","2/12/06","2/19/06","1/15/06","3/5/06","1/15/06","1/1/06","3/5/06","1/1/06","3/12/06","2/26/06","3/5/06","2/19/06","2/19/06","3/5/06","3/5/06","3/12/06","2/19/06","2/19/06","2/26/06","2/26/06","3/12/06","2/19/06","3/5/06","2/26/06","2/26/06","2/26/06","3/12/06","2/5/06","12/25/05","12/25/05","1/1/06","3/12/06","4/2/06","12/25/05","2/26/06","3/5/06","2/19/06","3/12/06","2/5/06","1/22/06","1/1/06","3/19/06","12/25/05","2/5/06","2/26/06","2/12/06","3/5/06","3/5/06","3/5/06","3/12/06","2/19/06","2/19/06","12/25/05","12/18/05","1/15/06","12/25/05","2/5/06","1/15/06","1/29/06","12/25/05","12/25/05","3/5/06","3/12/06","3/12/06","3/5/06","1/1/06","12/25/05","1/8/06","3/5/06","3/12/06"
"3/4/07","12/17/06","2/4/07","12/10/06","12/31/06","12/31/06","1/28/07","2/25/07","2/11/07","1/28/07","2/11/07","2/11/07","2/4/07","2/18/07","1/28/07","2/11/07","2/11/07","2/4/07","2/4/07","3/4/07","3/11/07","2/4/07","2/25/07","3/11/07","12/24/06","11/19/06","12/24/06","12/24/06","12/24/06","3/4/07","2/11/07","2/11/07","2/11/07","2/25/07","2/18/07","3/4/07","12/31/06","12/31/06","12/31/06","3/4/07","3/11/07","3/11/07","2/11/07","2/25/07","2/18/07","12/31/06","12/24/06","2/18/07","12/17/06","2/18/07","2/18/07","2/18/07","2/4/07","2/18/07","3/25/07","3/11/07","12/17/06","2/18/07","3/25/07","3/11/07","2/18/07","12/31/06","2/25/07","3/11/07","3/18/07","2/11/07","2/18/07","2/11/07","2/11/07","2/4/07","2/18/07","12/31/06","3/4/07","2/4/07","3/4/07","3/18/07","2/25/07","2/11/07","2/11/07","2/18/07","2/11/07","2/18/07","2/18/07","2/18/07","3/4/07","2/11/07","2/18/07","2/25/07","12/31/06","3/4/07","3/25/07","2/18/07","2/11/07","2/11/07","2/18/07","2/18/07","2/18/07"
"3/2/08","2/10/08","2/10/08","2/24/08","2/17/08","2/17/08","2/10/08","2/17/08","2/17/08","2/10/08","2/24/08","2/17/08","2/10/08","2/17/08","2/17/08","2/17/08","2/24/08","2/17/08","2/17/08","2/24/08","2/17/08","2/17/08","2/17/08","3/2/08","2/17/08","2/17/08","2/17/08","2/17/08","2/17/08","2/24/08","2/24/08","2/24/08","2/24/08","2/17/08","2/17/08","2/17/08","2/3/08","2/3/08","2/17/08","2/17/08","2/3/08","2/3/08","2/24/08","2/24/08","2/24/08","2/3/08","2/3/08","2/24/08","2/17/08","2/17/08","2/17/08","2/17/08","2/17/08","2/17/08","2/17/08","2/17/08","2/3/08","2/17/08","2/24/08","2/24/08","2/17/08","3/2/08","2/10/08","2/3/08","2/3/08","2/17/08","2/17/08","2/24/08","2/24/08","2/17/08","2/3/08","2/3/08","2/17/08","2/24/08","2/10/08","2/10/08","2/17/08","2/3/08","2/17/08","1/27/08","2/10/08","2/10/08","1/27/08","1/27/08","2/3/08","2/3/08","1/27/08","2/17/08","2/3/08","2/17/08","2/17/08","2/3/08","2/24/08","2/17/08","2/24/08","2/24/08","2/24/08"
"3/8/09","3/1/09","3/8/09","5/3/09","4/26/09","5/3/09","5/3/09","4/26/09","2/22/09","5/10/09","1/25/09","4/26/09","7/5/09","4/26/09","4/26/09","4/26/09","4/26/09","6/14/09","5/3/09","5/3/09","2/22/09","4/26/09","2/15/09","2/15/09","4/26/09","2/8/09","2/15/09","3/1/09","3/8/09","7/12/09","3/8/09","3/15/09","4/26/09","5/3/09","3/15/09","3/8/09","2/15/09","2/8/09","2/15/09","3/15/09","2/22/09","2/15/09","2/22/09","3/8/09","3/8/09","2/22/09","3/1/09","3/1/09","2/22/09","2/22/09","2/22/09","2/22/09","3/29/09","3/15/09","6/21/09","5/3/09","4/26/09","5/24/09","3/1/09","3/1/09","5/24/09","6/28/09","2/22/09","3/1/09","3/8/09","3/1/09","3/8/09","3/1/09","2/22/09","2/22/09","2/22/09","2/15/09","3/1/09","2/15/09","2/22/09","3/1/09","3/1/09","3/1/09","3/1/09","2/1/09","2/8/09","2/15/09","2/1/09","2/8/09","2/8/09","2/8/09","2/1/09","6/14/09","2/8/09","2/8/09","2/22/09","2/15/09","5/24/09","4/26/09","3/8/09","5/3/09","5/3/09"
"10/4/09","9/6/09","10/4/09","10/11/09","10/11/09","10/11/09","10/11/09","10/11/09","9/20/09","10/18/09","11/8/09","11/1/09","11/8/09","10/11/09","11/1/09","10/18/09","10/18/09","11/1/09","10/25/09","10/11/09","10/11/09","10/25/09","9/20/09","9/27/09","10/18/09","10/4/09","10/4/09","10/18/09","10/4/09","11/1/09","10/18/09","10/18/09","10/18/09","10/18/09","10/11/09","10/18/09","9/6/09","8/30/09","11/8/09","11/15/09","10/18/09","10/25/09","10/18/09","10/18/09","10/18/09","10/18/09","9/20/09","10/25/09","10/18/09","10/4/09","10/11/09","10/18/09","10/18/09","10/18/09","11/15/09","10/11/09","10/25/09","10/11/09","11/1/09","10/25/09","11/1/09","11/1/09","10/18/09","10/18/09","10/18/09","10/4/09","10/4/09","10/18/09","10/11/09","10/18/09","10/25/09","10/18/09","10/18/09","11/1/09","9/27/09","10/4/09","9/6/09","9/13/09","9/27/09","10/4/09","10/4/09","10/4/09","9/27/09","10/4/09","10/11/09","9/27/09","9/27/09","10/18/09","10/25/09","10/25/09","10/25/09","10/18/09","10/25/09","10/18/09","10/11/09","10/18/09","10/25/09"
"2/20/11","12/19/10","2/13/11","2/13/11","2/13/11","2/20/11","2/13/11","2/13/11","2/20/11","2/27/11","1/30/11","2/13/11","2/27/11","2/20/11","2/13/11","2/13/11","2/20/11","2/27/11","3/6/11","2/20/11","2/13/11","1/23/11","1/30/11","12/26/10","1/2/11","1/2/11","1/23/11","12/26/10","1/2/11","2/27/11","2/20/11","3/6/11","1/23/11","1/23/11","2/20/11","2/13/11","2/13/11","1/23/11","2/13/11","3/20/11","2/13/11","2/13/11","2/20/11","2/20/11","2/13/11","1/16/11","1/16/11","2/6/11","2/6/11","2/6/11","2/13/11","2/6/11","2/27/11","2/20/11","1/30/11","2/13/11","1/23/11","2/27/11","2/27/11","2/27/11","2/13/11","2/13/11","2/13/11","1/23/11","2/13/11","1/23/11","1/23/11","3/13/11","2/13/11","2/27/11","1/23/11","2/13/11","2/6/11","2/13/11","2/13/11","2/13/11","2/6/11","2/13/11","1/30/11","2/13/11","1/23/11","2/6/11","2/13/11","1/30/11","2/13/11","1/30/11","2/13/11","12/26/10","2/13/11","3/6/11","2/13/11","2/6/11","3/6/11","2/27/11","3/13/11","2/27/11","2/6/11"
"3/25/12","2/19/12","3/11/12","3/11/12","3/11/12","3/18/12","3/25/12","3/11/12","1/22/12","3/25/12","1/15/12","2/19/12","1/8/12","1/29/12","1/1/12","3/11/12","1/8/12","3/25/12","2/19/12","3/4/12","2/19/12","1/1/12","1/15/12","1/1/12","12/25/11","2/26/12","1/29/12","1/1/12","1/22/12","5/6/12","3/11/12","1/15/12","3/11/12","12/25/11","3/11/12","2/12/12","2/19/12","3/11/12","1/1/12","3/11/12","1/1/12","1/8/12","1/8/12","2/19/12","3/11/12","3/4/12","2/19/12","2/26/12","2/19/12","1/15/12","1/29/12","1/1/12","3/11/12","3/4/12","5/13/12","4/1/12","1/1/12","3/11/12","5/6/12","1/15/12","1/1/12","1/22/12","1/1/12","1/1/12","1/29/12","3/4/12","3/4/12","4/1/12","2/19/12","4/8/12","1/1/12","1/1/12","5/13/12","5/6/12","1/22/12","1/8/12","1/1/12","3/11/12","2/26/12","2/26/12","3/4/12","3/4/12","2/19/12","12/18/11","3/4/12","2/26/12","2/26/12","3/11/12","1/8/12","1/15/12","2/12/12","1/1/12","5/6/12","4/8/12","3/4/12","1/8/12","1/1/12"
"1/13/13","12/16/12","1/13/13","1/13/13","1/20/13","1/20/13","1/20/13","1/13/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/20/13","1/13/13","1/13/13","1/13/13","1/20/13","1/13/13","1/13/13","1/13/13","1/13/13","12/23/12","1/13/13","1/20/13","1/13/13","1/13/13","1/13/13","1/20/13","1/6/13","1/20/13","12/23/12","1/13/13","1/13/13","1/13/13","1/13/13","1/6/13","1/6/13","1/20/13","1/13/13","1/13/13","12/16/12","1/6/13","12/16/12","1/6/13","12/9/12","12/23/12","1/13/13","1/13/13","1/13/13","1/20/13","1/20/13","1/20/13","1/13/13","1/13/13","1/13/13","1/13/13","1/6/13","1/13/13","1/6/13","1/13/13","1/13/13","1/27/13","1/20/13","1/20/13","1/13/13","1/13/13","1/13/13","1/13/13","1/6/13","12/23/12","12/2/12","1/6/13","12/23/12","1/13/13","1/13/13","1/6/13","1/13/13","1/6/13","1/13/13","1/6/13","1/6/13","1/13/13","1/13/13","1/6/13","1/13/13","1/6/13","1/13/13","1/13/13","1/20/13","1/13/13","1/6/13"
"12/29/13","12/22/13","12/29/13","1/12/14","1/26/14","1/26/14","1/19/14","1/12/14","1/12/14","12/29/13","1/19/14","1/5/14","12/29/13","1/5/14","1/5/14","1/12/14","1/12/14","1/26/14","1/12/14","12/29/13","1/5/14","1/5/14","1/26/14","12/22/13","1/26/14","12/22/13","12/29/13","12/22/13","1/5/14","2/16/14","1/5/14","12/29/13","12/29/13","12/29/13","1/12/14","12/29/13","12/22/13","12/29/13","12/29/13","2/23/14","1/19/14","12/22/13","12/29/13","12/29/13","12/29/13","12/29/13","12/29/13","1/12/14","12/22/13","12/29/13","12/29/13","12/29/13","1/5/14","1/5/14","2/2/14","1/5/14","1/5/14","12/22/13","1/5/14","12/29/13","1/5/14","1/12/14","12/29/13","1/5/14","1/5/14","1/12/14","12/29/13","1/5/14","1/5/14","12/29/13","1/12/14","12/29/13","1/19/14","1/26/14","1/5/14","12/22/13","12/22/13","12/22/13","12/29/13","12/22/13","12/22/13","12/29/13","12/22/13","12/29/13","12/22/13","1/5/14","12/22/13","12/29/13","1/5/14","1/19/14","2/16/14","12/29/13","1/5/14","1/5/14","12/29/13","1/19/14","1/5/14"
